                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0147,                 1.1875,                0.98505,                0.92802,                0.87198,                0.92587,                0.63604,                 1.2512,                 1.9786,                 1.0402,               0.067194,             0.00033137,             0.00033137
                      2,                0.95912,                 0.6489,                 0.9619,                0.94631,                0.92271,                0.97901,                0.73439,                0.92654,                0.63449,                0.93943,               0.034168,             0.00063812,             0.00063812
                      3,                0.95805,                0.62702,                0.96356,                0.95494,                0.96377,                0.98994,                0.74228,                0.88058,                0.56295,                0.93289,              0.0011143,              0.0009182,              0.0009182
                      4,                0.93751,                0.58902,                0.95456,                0.96178,                0.97251,                0.99189,                0.76709,                0.89065,                0.52787,                0.91908,                0.00088,                0.00088,                0.00088
                      5,                 0.9027,                0.55643,                0.94595,                0.96192,                0.97638,                0.99131,                0.74097,                0.94388,                0.54495,                0.93372,                0.00088,                0.00088,                0.00088
                      6,                0.90175,                0.54106,                0.95157,                0.95961,                0.97101,                0.98957,                0.69737,                 1.0954,                0.53785,                0.96861,                0.00084,                0.00084,                0.00084
                      7,                0.89155,                0.52537,                0.94165,                0.97844,                0.98658,                0.99328,                0.78557,                0.81898,                0.47711,                 0.9183,                 0.0008,                 0.0008,                 0.0008
                      8,                0.84919,                0.48907,                0.92795,                0.99029,                0.98515,                0.99451,                0.75117,                0.96388,                0.47494,                0.93364,                0.00076,                0.00076,                0.00076
                      9,                0.86324,                0.49692,                0.93067,                0.96629,                0.98068,                0.99275,                0.79648,                0.77379,                0.44252,                0.90586,                0.00072,                0.00072,                0.00072
                     10,                0.83148,                0.47059,                0.92235,                0.98666,                 0.9686,                0.99352,                 0.7813,                0.84313,                 0.4379,                0.91427,                0.00068,                0.00068,                0.00068
                     11,                 0.7761,                0.41513,                 0.8918,                0.98762,                0.96332,                0.99356,                0.79553,                0.78692,                0.43409,                 0.9046,                0.00064,                0.00064,                0.00064
                     12,                0.77358,                0.40869,                0.89258,                0.98072,                0.98282,                0.99428,                0.81275,                0.75535,                0.41658,                0.89421,                 0.0006,                 0.0006,                 0.0006
                     13,                0.75011,                0.38587,                0.87965,                0.96567,                0.99517,                0.99401,                0.79891,                0.80516,                0.39428,                0.90051,                0.00056,                0.00056,                0.00056
                     14,                0.75391,                 0.3796,                0.88335,                0.98898,                0.98309,                0.99381,                0.82051,                 0.7248,                0.39882,                0.88613,                0.00052,                0.00052,                0.00052
                     15,                0.73739,                0.37395,                0.87427,                0.98187,                0.98068,                0.99294,                0.81299,                0.74935,                0.38849,                0.89651,                0.00048,                0.00048,                0.00048
                     16,                0.73102,                0.36754,                0.87699,                0.97843,                0.98618,                0.99367,                0.80783,                0.75955,                0.38471,                0.89105,                0.00044,                0.00044,                0.00044
                     17,                0.71127,                0.35414,                0.86716,                0.99311,                0.97585,                0.99469,                0.82816,                0.71242,                 0.3652,                0.88789,                 0.0004,                 0.0004,                 0.0004
                     18,                0.69902,                0.34978,                0.86441,                0.98733,                0.98792,                0.99407,                0.82278,                0.70031,                0.36786,                0.88429,                0.00036,                0.00036,                0.00036
                     19,                0.68605,                0.34024,                0.86417,                0.97855,                0.99159,                0.99398,                0.82565,                0.73903,                0.35903,                0.89518,                0.00032,                0.00032,                0.00032
                     20,                0.67265,                0.33871,                0.86323,                0.99215,                0.98309,                0.99432,                0.84465,                0.69155,                0.35075,                0.87853,                0.00028,                0.00028,                0.00028
